CAAN,BUILDINGNAME,NAME_SHORT,FLOORCOUNT,REGION,CAMPUS,UNDERGROUND,BLDGAREA,BLDGTYPE,OPERHOURS,OPERDATE,ACCESSTYPE,CONDITION,OWNEDBY,MAINTBY,BLDGHEIGHT,SUBFEED,ADDRESS,CITY,STATE,COUNTY,COUNTRY,ZIPCODE,RMSTANDARD,BLDGUSE_P,LAT_Y,LONG_X,NORTH,EAST,Shape__Area,Shape__Length,GlobalID,CreationDate,Creator,EditDate,Editor
1985,2372 Ellsworth St.,2372 Ellsworth St.,1,,South,0,,,,,,,1,1,,,2372 Ellsworth St.,Berkeley,CA,Alameda,USA,94704,S,300,-122.263723230083,37.8667921794646,2142876.1894767,6052576.69698606,1900.84375,197.9293217390812,{5587687D-5580-484F-B2B2-D72707348BEC},2020-11-03 22:11:44.000001,1678122_CAL,2020-11-03 22:11:44.000001,1678122_CAL
1590,2298 Ellsworth St.,2298 Ellsworth St.,,,South,0,,,,,,,1,1,,,2298 Ellsworth St.,Berkeley,CA,Alameda,USA,94704,,,-122.263704478523,37.8669750330524,2142942.65766643,6052583.36366562,2856.4267578125,235.9634957850229,{94A41151-356E-43B4-B306-0BAA4E293442},2020-11-03 22:11:44.000001,1678122_CAL,2020-11-03 22:11:44.000001,1678122_CAL
1002,Cleary Hall,2424 Channing Way,5,,South,0,,,,,,,1,1,,,2424 Channing Way,Berkeley,CA,Alameda,USA,94704,N,900,-122.25951700996,37.8664130850494,2142715.32091561,6053788.07206663,10256.59765625,637.286793951391,{E380C1F4-FD3C-4870-A200-3B1B48D704E2},2020-11-03 22:11:44.000001,1678122_CAL,2020-11-03 22:11:44.000001,1678122_CAL
1009,Haste Street Child Development Center,2339 Haste Street,2,,South,0,,,,,,,1,1,,,2339 Haste Street,Berkeley,CA,Alameda,USA,94704,N,600,-122.261605563497,37.8659330774092,2142551.90917967,6053181.99511394,8496.17578125,554.035661345337,{0B2149BA-D42E-4E1A-A8A1-17443D3F1E4A},2020-11-03 22:11:44.000001,1678122_CAL,2020-11-03 22:11:44.000001,1678122_CAL
1259A,2427 Dwight Way,2427 Dwight Way,,,South,0,,,,,,,1,1,,,2427 Dwight Way,Berkeley,CA,Alameda,USA,94704,,,-122.259431180822,37.8652580736086,2142294.35811448,6053804.93725215,7861.353515625,505.6415688098373,{35FD8403-454F-4DCB-879A-C61878BC8715},2020-11-03 22:11:44.000001,1678122_CAL,2020-11-03 22:11:44.000001,1678122_CAL
1430,A & E Building,A & E Bldg,3,4,Central,0,,,,,,,1,1,,2,Barrow Lane,Berkeley,CA,Alameda,USA,94720,S,300,-122.25879632418,37.870169855186,2144079.11326699,6054021.779585,1899.4443359375,190.6716118101502,{E68C5438-AB8E-4264-933A-F92AAAF550A3},2020-11-03 22:11:44.000001,1678122_CAL,2020-11-03 22:11:44.000001,1678122_CAL
1360,Haas Pavilion,Haas Pavilion,6,6,Central,0,,,,,,,1,1,,2,115 Haas Pavilion,Berkeley,CA,Alameda,USA,94720,N,500,-122.262219366848,37.8694008998359,2143817.75084609,6053028.61732412,78662.2744140625,1384.9896194378096,{96764B7C-3884-44B9-8C87-53DEB5BCA26C},2020-11-03 22:11:44.000001,1678122_CAL,2020-11-03 22:11:44.000001,1678122_CAL
1791,Martin Luther King Junior Student Union,MLK Student Union,6,6,Central,0,,,,,,,1,1,,2,2495 Bancroft Way,Berkeley,CA,Alameda,USA,94720,N,000,-122.259700519523,37.8691520108248,2143713.45931388,6053753.86023236,30858.5390625,736.8973636725626,{D3627A6C-6F51-425B-AC93-97D78875A8E5},2020-11-03 22:11:44.000001,1678122_CAL,2020-11-03 22:11:44.000001,1678122_CAL
1154,Eshleman Hall,Eshleman Hall,,6,Central,0,,,,,,,1,1,,2,2465 Bancroft Way,Berkeley,CA,Alameda,USA,94720,,,-122.26038516666,37.8687662852237,2143576.74737697,6053553.62639663,13555.5537109375,602.8636976943624,{59ABCEF0-58A0-47DF-8E18-18AE32230B0B},2020-11-03 22:11:44.000001,1678122_CAL,2020-11-03 22:11:44.000001,1678122_CAL
1286,University Health Services-Tang Center,Tang Center,4,6,South,0,,,,,,,1,1,,,222 Bancroft Way,Berkeley,CA,Alameda,USA,94704,N,800,-122.264334620496,37.8676255285576,2143182.90733475,6052405.96227518,29402.712890625,962.5263543541197,{7BA8FD07-A67B-4013-A956-3C5974FB9370},2020-11-03 22:11:44.000001,1678122_CAL,2020-11-03 22:11:44.000001,1678122_CAL
